# Prot. vs. RNA Profile Dissimilarity Measure Over Phase Shifts 
# Time series file:  C:\Users\Francis Motta\PycharmProjects\biochron\proteomics\data\wild-type_linearSpline_time-series.tsv 
# No. of Randomized Curves:  10000 
	shift_0	shift_1	shift_2	shift_3	shift_4	shift_5	shift_6	shift_7	shift_8	shift_9	shift_10	kt_diss_range	kt_diss	kt_diss_pval	est_delay	min_dist_flag	min_pval_flag
TOS4_1_p_r2	0.22528735632183908	0.14532019704433496	0.15343915343915343	0.20797720797720798	0.3507692307692308	0.5033333333333333	0.6231884057971014	0.7233201581027668	0.8138528138528138	0.8714285714285714	0.8736842105263158	0.7283640134819809	0.14532019704433496	0.0	6.896551719999998	0.0	0.0
TOS4_2_p_r1	0.14022988505747128	0.08374384236453201	0.164021164021164	0.31339031339031337	0.47692307692307695	0.6333333333333333	0.7536231884057971	0.8181818181818182	0.8528138528138528	0.7904761904761904	0.6684210526315789	0.7690700104493208	0.08374384236453201	0.0	6.896551719999998	1.0	0.0
TOS4_2_p_r2	0.22298850574712645	0.1330049261083744	0.1349206349206349	0.19658119658119658	0.3384615384615385	0.49	0.6268115942028986	0.7351778656126482	0.8268398268398268	0.8952380952380953	0.8894736842105263	0.7622331691297208	0.1330049261083744	0.0	6.896551719999998	0.0	0.0
IXR1_2_p_r1	0.43908045977011495	0.4408866995073892	0.42063492063492064	0.37037037037037035	0.36615384615384616	0.37333333333333335	0.3188405797101449	0.2924901185770751	0.2683982683982684	0.2619047619047619	0.28421052631578947	0.17898193760262726	0.2619047619047619	0.0043	62.06896547999998	1.0	1.0
IXR1_2_p_r2	0.3701149425287356	0.3817733990147783	0.4365079365079365	0.4301994301994302	0.4338461538461538	0.43333333333333335	0.40942028985507245	0.4031620553359684	0.3852813852813853	0.4	0.45263157894736844	0.08251663641863283	0.3701149425287356	0.3308	0.0	0.0	0.0
ACE2_1_p_r1	0.28735632183908044	0.2438423645320197	0.18253968253968253	0.1452991452991453	0.14153846153846153	0.18333333333333332	0.25	0.31225296442687744	0.39826839826839827	0.47619047619047616	0.5368421052631579	0.3953036437246964	0.14153846153846153	0.0	27.58620687999999	0.0	1.0
ACE2_1_p_r2	0.2896551724137931	0.21921182266009853	0.15343915343915343	0.08831908831908832	0.08	0.14333333333333334	0.23550724637681159	0.3241106719367589	0.4069264069264069	0.47619047619047616	0.5842105263157895	0.5042105263157896	0.08	0.0	27.58620687999999	0.0	0.0
ACE2_2_p_r1	0.4160919540229885	0.35960591133004927	0.29365079365079366	0.2336182336182336	0.18461538461538463	0.15	0.15942028985507245	0.19367588932806323	0.22077922077922077	0.2857142857142857	0.3736842105263158	0.26609195402298846	0.15	0.0	34.48275859999999	0.0	0.0
ACE2_2_p_r2	0.28045977011494255	0.22660098522167488	0.1349206349206349	0.05698005698005698	0.09538461538461539	0.2	0.2826086956521739	0.36363636363636365	0.4458874458874459	0.5380952380952381	0.631578947368421	0.5745988903883641	0.05698005698005698	0.0	20.689655159999994	1.0	0.0
SWI5_1_p_r1	0.1839080459770115	0.12315270935960591	0.06084656084656084	0.11965811965811966	0.2246153846153846	0.3233333333333333	0.4166666666666667	0.5019762845849802	0.6060606060606061	0.7238095238095238	0.7894736842105263	0.7286271233639655	0.06084656084656084	0.0	13.793103439999996	1.0	1.0
