,AS1501_3D7,AS1502_3D7,AS1503_3D7,AS1504_3D7,AS1505_3D7,AS1506_3D7,AS1507_3D7,AS1508_3D7,AS1509_3D7,AS1510_3D7,AS1511_3D7,AS1512_3D7,AS1513_3D7,AS1514_3D7,AS1515_3D7,AS1516_3D7
PF3D7_1451000,12.47622983,45.77262613,37.50320898,26.65253714,28.84119819,24.49740308,22.91333387,24.37874674,19.20848637,18.49527534,26.56614868,28.54051423,30.07689877,32.6097625,36.04283257,36.88515927
PF3D7_1451100,1043.188906,1326.61778,1564.865572,2241.026869,2042.475695,1927.909318,2507.761374,2378.677957,3376.545353,3306.868638,2579.391348,2524.456112,2652.899275,2932.233481,2172.80795,2036.744663
PF3D7_1451200,901.8559441,992.7569435,766.2520358,597.4034629,541.0031123,483.3220252,374.583651,324.3964427,294.3299755,282.8122178,346.6761213,335.259482,344.8170327,366.2710275,429.1194019,412.4814106
PF3D7_1451300,13.20747051,21.93326067,17.28852297,15.33584781,17.16295315,19.2155055,20.41873704,26.23991987,43.72841026,46.23818834,46.65312606,53.99048313,69.15739993,114.9203972,189.3540347,204.5456371
PF3D7_1451400,3.931564393,11.45193524,15.48349519,13.81574778,17.00245269,15.76539691,15.01360024,15.11908145,13.31079193,14.21230813,19.13470349,18.74930831,20.31443421,19.46894527,27.78785363,24.66023653
PF3D7_1451500,3.5354279,12.07193823,14.30975719,12.94511944,13.39928263,12.15071807,6.030481834,8.12713451,6.332035842,6.802428969,6.896892499,7.016373173,8.559122135,7.33104941,47.10403577,49.50186807
PF3D7_1451600,1.426600044,1.432035928,1.27268284,0.92302505,1.188179883,1.548625593,0.785229351,0.657915593,1.159445692,0.933306619,1.264928856,1.049215157,0.950039937,1.1832769,1.738092439,2.060745736
PF3D7_1451700,5.389210319,7.911787146,5.463367511,3.8491478,4.519452757,5.308274089,4.77534142,7.824349487,9.683542775,10.99325916,10.48992967,15.31382572,14.82008081,18.28643785,71.87695755,112.8570571
PF3D7_1451800,33.17313393,35.32944024,37.62569173,52.88998289,67.4839881,78.6146678,102.6226734,118.2514621,159.2968389,161.2625625,168.743319,166.2858255,189.1846464,235.5599632,259.1241708,268.5583296
PF3D7_1451900,44.30917081,126.9325352,116.2779057,98.43617642,102.7873967,101.7965046,82.05079717,77.03266585,60.81345186,67.03011,80.39264833,75.17226413,78.27960133,70.38716895,88.62304206,82.23138923
PF3D7_1452000,10.12771842,5.566775063,4.440545283,3.070595328,2.468829656,2.03198449,1.513717815,3.285750416,9.567032888,17.19047167,20.07603295,17.05021399,16.79816864,23.93210107,42.4860218,56.35597288
PF3D7_1452100,9.132319659,58.3458162,56.60843804,32.18767318,40.06584626,45.40496316,26.3277673,24.65016299,13.27913037,16.39659808,19.53499273,20.03840303,16.14111492,12.80230457,6.017480569,5.956998116
PF3D7_1452200,1.716459598,4.444096388,3.787009793,2.513418839,2.494457646,2.264211289,1.700021546,1.969523123,1.338773292,2.484825563,3.793691391,4.532799811,7.760943028,5.999048157,5.809497745,5.971049507
PF3D7_1452300,1.146386011,1.657866182,1.521877022,0.893516312,1.633694092,2.232320989,1.616217667,2.615463303,1.31991733,1.797428166,3.085713772,4.083002135,5.849085584,6.155098605,3.905232159,5.15934963
PF3D7_1452400,39.90948318,145.5259268,151.5623982,129.1324452,130.5229808,148.7453241,98.58615511,102.816789,94.09302857,94.53665319,99.69492554,101.5901009,97.85038117,110.3025047,169.1896787,167.4729383
PF3D7_1452500,5.416171777,13.78157122,11.41694913,9.276553791,11.56039923,11.501799,7.517783957,11.74547146,10.97225753,12.44068992,17.38029605,21.02153943,31.47779074,30.28092264,47.45751803,64.3530272
PF3D7_1452600,3.464325109,8.594839937,11.34752964,12.16874208,19.77014147,23.41516178,16.05195075,16.67741355,13.4857017,12.37548262,14.20297208,13.14958727,15.36064553,17.05882548,19.37327419,19.99587797
