# RNA vs. RNA Profile Dissimilarity Measure Over Phase Shifts 
# Time series file 1:  /Users/haase-admin/Desktop/moseley/DLxJTK_TAKT_runs_avg/Data/AS_FUP_1stage_periodic_jtk05.txt 
# Time series file 2:  /Users/haase-admin/Desktop/moseley/DLxJTK_TAKT_runs_avg/Data/AA_FUP_1stage_periodic_jtk05.txt 
# No. of Randomized Curves:  10000 
	shift_0	shift_1	shift_2	shift_3	shift_4	shift_5	shift_6	shift_7	shift_8	shift_9	shift_10	shift_11	shift_12	shift_13	shift_14	kt_diss_range	kt_diss	kt_diss_pval	est_delay	min_dist_flag	min_pval_flag
PF3D7_0902300	0.016666666666666666	0.05714285714285714	0.08791208791208792	0.11538461538461539	0.13636363636363635	0.16363636363636364	0.2	0.25	0.32142857142857145	0.42857142857142855	0.6	0.8	1.0	1.0	1.0	0.9833333333333333	0.016666666666666666	0.6077	0.0	0.0	0.0
PF3D7_1407100	0.041666666666666664	0.1523809523809524	0.13186813186813187	0.19230769230769232	0.22727272727272727	0.2727272727272727	0.3333333333333333	0.3611111111111111	0.4642857142857143	0.5238095238095238	0.6666666666666666	0.7	0.8333333333333334	0.6666666666666666	1.0	0.9583333333333334	0.041666666666666664	0.6036	0.0	0.0	0.0
PF3D7_0929200	0.1	0.17142857142857143	0.16483516483516483	0.15384615384615385	0.24242424242424243	0.2909090909090909	0.35555555555555557	0.3611111111111111	0.25	0.2857142857142857	0.4	0.7	1.0	1.0	1.0	0.9	0.1	0.6109	0.0	0.0	0.0
PF3D7_1469500	0.2	0.34285714285714286	0.3956043956043956	0.5128205128205128	0.5151515151515151	0.5272727272727272	0.4888888888888889	0.5555555555555556	0.5357142857142857	0.7142857142857143	0.6666666666666666	0.8	0.8333333333333334	0.6666666666666666	1.0	0.8	0.2	0.7001	0.0	0.0	0.0
PF3D7_1041200	0.10833333333333334	0.11428571428571428	0.18681318681318682	0.19230769230769232	0.21212121212121213	0.2909090909090909	0.3111111111111111	0.3888888888888889	0.5	0.6190476190476191	0.8666666666666667	0.7	0.5	0.6666666666666666	0.0	0.8666666666666667	0.0	0.0	42.0	0.0	0.0
PF3D7_0622200	0.09166666666666666	0.20952380952380953	0.2967032967032967	0.3076923076923077	0.4090909090909091	0.4	0.4666666666666667	0.5	0.5357142857142857	0.6190476190476191	0.7333333333333333	0.9	1.0	1.0	1.0	0.9083333333333333	0.09166666666666666	0.6008	0.0	0.0	0.0
PF3D7_0627100	0.09166666666666666	0.13333333333333333	0.18681318681318682	0.2564102564102564	0.30303030303030304	0.2909090909090909	0.35555555555555557	0.4722222222222222	0.6071428571428571	0.7619047619047619	0.8666666666666667	0.7	0.16666666666666666	0.3333333333333333	0.0	0.8666666666666667	0.0	0.0	42.0	0.0	0.0
PF3D7_0406100	0.11666666666666667	0.23809523809523808	0.34065934065934067	0.46153846153846156	0.6212121212121212	0.6909090909090909	0.8	0.9166666666666666	0.9285714285714286	0.9047619047619048	0.8666666666666667	0.8	1.0	1.0	1.0	0.8833333333333333	0.11666666666666667	0.6287	0.0	0.0	0.0
PF3D7_1006800	0.03333333333333333	0.06666666666666667	0.054945054945054944	0.07692307692307693	0.09090909090909091	0.09090909090909091	0.08888888888888889	0.1111111111111111	0.14285714285714285	0.19047619047619047	0.26666666666666666	0.4	0.5	0.6666666666666666	1.0	0.9666666666666667	0.03333333333333333	0.5983	0.0	0.0	0.0
PF3D7_0805200	0.058333333333333334	0.13333333333333333	0.21978021978021978	0.3717948717948718	0.42424242424242425	0.5454545454545454	0.6222222222222222	0.7222222222222222	0.8214285714285714	0.9523809523809523	0.9333333333333333	0.9	1.0	1.0	1.0	0.9416666666666667	0.058333333333333334	0.6193	0.0	0.0	0.0
