pro	pep	rep	conf	qc1	qc2	qc3	qc4	qc5	mean	std	cov
SWI4	1	r2	high	0.03397715	0.034264019	0.033911912	0.032265448	0.033575484	0.0335988026	0.000784550087109038	0.0233505371143505
SWI4	2	r1	high	0.009756966	0.00993501	0.012380704	0.010473072	0.008409083	0.010190967	0.00144079082481636	0.141379206194697
SWI4	2	r2	medium	0.009888798	0.010079702	0.010808565	0.011224601	0.008614758	0.0101232848	0.00100187860430329	0.0989677386438131
SWI4	3	r1	high	0.036585949	0.035458907	0.035862989	0.036358863	0.034539257	0.035761193	0.000811218023706329	0.0226843109989739
SWI4	3	r2	high	0.153692025	0.142078808	0.154215698	0.142216851	0.139851272	0.1464109308	0.006951896156642	0.047482084286032
SWI5	1	r1	medium	0.003782628	0.00351197	0.003602688	0.004417726	0.002788545	0.0036207114	0.000584401341177277	0.161405115353098
SWI5	1	r2	medium	0.004065202	0.002656392	0.003650653	0.004477046	0.002711351	0.0035121288	0.000810813584809542	0.230861005100252
SWI5	3	r1	medium	0.000408659	0.000507896	5.49e-05	0.000715369	0.000744648	0.0004862944	0.000279202779268581	0.574143521431834
SWI5	3	r2	medium	0.000455571	0.000333283	0	0.000353549	0.000267649	0.0002820104	0.000171468691159057	0.608022580582336
SWI6	1	r1	medium	0.027068745	0.027284793	0.027471432	0.080368402	0.02615714	0.0376701024	0.0238744078457418	0.633776027265108
SWI6	1	r2	medium	0.039712759	0.036812607	0.034507031	0.122118889	0.135069406	0.0736441384	0.0504045591547999	0.684434094143735
SWI6	2	r1	high	0.030389817	0.035143576	0.034184688	0.033463228	0.032545702	0.0331454022	0.00181154056486274	0.0546543545898724
SWI6	2	r2	high	0.039902463	0.040341803	0.037777845	0.036331234	0.042991507	0.0394689704	0.00255261197181569	0.0646738930847736
SWI6	3	r1	high	0.069044678	0.064740418	0.057262511	0.066904241	0.066378875	0.0648661446	0.00452032583656005	0.0696869817750822
SWI6	3	r2	high	0.063963286	0.069439011	0.065051127	0.06710087	0.064717218	0.0660543024	0.00222025118000426	0.0336125142395608
TOS4	1	r1	high	0.038234149	0.062317307	0.065561805	0.056040973	0.035988815	0.0516286098	0.0137100864952792	0.265552114387539
TOS4	1	r2	high	0.061594924	0.065405533	0.039983877	0.035393567	0.036744298	0.0478244398	0.0144697239012029	0.302559192783328
