# RNA vs. RNA Profile Dissimilarity Measure Over Phase Shifts 
# Time series file 1:  /Users/haase-admin/Desktop/moseley/DLxJTK_TAKT_runs_avg/Data/AS_3D7_1stage_periodic_jtk05.txt 
# Time series file 2:  /Users/haase-admin/Desktop/moseley/DLxJTK_TAKT_runs_avg/Data/AS_FUP_1stage_periodic_jtk05.txt 
# No. of Randomized Curves:  10000 
	shift_0	shift_1	shift_2	shift_3	shift_4	shift_5	shift_6	shift_7	shift_8	shift_9	shift_10	shift_11	shift_12	shift_13	shift_14	kt_diss_range	kt_diss	kt_diss_pval	est_delay	min_dist_flag	min_pval_flag
PF3D7_1146800	0.06666666666666667	0.13333333333333333	0.12087912087912088	0.14102564102564102	0.18181818181818182	0.18181818181818182	0.2	0.3055555555555556	0.32142857142857145	0.3333333333333333	0.4	0.7	0.5	0.0	1.0	1.0	0.0	0.0	39.0	0.0	0.0
PF3D7_0216600	0.2	0.2857142857142857	0.34065934065934067	0.41025641025641024	0.5303030303030303	0.6181818181818182	0.7111111111111111	0.6666666666666666	0.6785714285714286	0.6666666666666666	0.6666666666666666	0.7	0.5	0.3333333333333333	0.0	0.7111111111111111	0.0	0.0	42.0	0.0	0.0
PF3D7_1370300	0.025	0.08571428571428572	0.18681318681318682	0.28205128205128205	0.3939393939393939	0.5272727272727272	0.6666666666666666	0.8055555555555556	0.9285714285714286	1.0	1.0	1.0	1.0	1.0	1.0	0.975	0.025	0.6047	0.0	0.0	0.0
PF3D7_1010300	0.10833333333333334	0.10476190476190476	0.18681318681318682	0.2948717948717949	0.42424242424242425	0.5636363636363636	0.7111111111111111	0.8055555555555556	0.8214285714285714	0.9047619047619048	1.0	1.0	1.0	1.0	1.0	0.8952380952380953	0.10476190476190476	0.6205	3.0	0.0	0.0
PF3D7_0602700	0.175	0.26666666666666666	0.38461538461538464	0.5	0.6212121212121212	0.7272727272727273	0.8222222222222222	0.75	0.6428571428571429	0.5714285714285714	0.26666666666666666	0.2	0.3333333333333333	0.3333333333333333	0.0	0.8222222222222222	0.0	0.0	42.0	0.0	0.0
PF3D7_0729400	0.06666666666666667	0.08571428571428572	0.13186813186813187	0.15384615384615385	0.16666666666666666	0.18181818181818182	0.2222222222222222	0.25	0.2857142857142857	0.2857142857142857	0.3333333333333333	0.4	0.5	0.6666666666666666	1.0	0.9333333333333333	0.06666666666666667	0.6092	0.0	0.0	0.0
PF3D7_1302400	0.2833333333333333	0.2571428571428571	0.17582417582417584	0.1794871794871795	0.16666666666666666	0.21818181818181817	0.3111111111111111	0.4166666666666667	0.5	0.7142857142857143	1.0	0.8	0.6666666666666666	0.3333333333333333	0.0	1.0	0.0	0.0	42.0	0.0	0.0
PF3D7_1412900.1	0.10833333333333334	0.24761904761904763	0.38461538461538464	0.5128205128205128	0.5909090909090909	0.6909090909090909	0.8222222222222222	0.9444444444444444	0.6785714285714286	0.42857142857142855	0.13333333333333333	0.0	0.16666666666666666	0.3333333333333333	1.0	1.0	0.0	0.0	33.0	0.0	0.0
PF3D7_1110900	0.175	0.3047619047619048	0.38461538461538464	0.48717948717948717	0.5454545454545454	0.7090909090909091	0.8222222222222222	0.6111111111111112	0.5357142857142857	0.5714285714285714	0.5333333333333333	0.7	0.5	0.3333333333333333	0.0	0.8222222222222222	0.0	0.0	42.0	0.0	0.0
PF3D7_0301800	0.21666666666666667	0.19047619047619047	0.17582417582417584	0.1282051282051282	0.21212121212121213	0.32727272727272727	0.4222222222222222	0.4166666666666667	0.39285714285714285	0.5238095238095238	0.7333333333333333	0.9	1.0	1.0	1.0	0.8717948717948718	0.1282051282051282	0.6266	9.0	0.0	0.0
PF3D7_0113600	0.125	0.13333333333333333	0.18681318681318682	0.24358974358974358	0.2878787878787879	0.34545454545454546	0.4222222222222222	0.5277777777777778	0.6785714285714286	0.7619047619047619	0.8666666666666667	0.6	0.3333333333333333	1.0	0.0	1.0	0.0	0.0	42.0	0.0	0.0
PF3D7_1414100	0.275	0.24761904761904763	0.25274725274725274	0.1794871794871795	0.2727272727272727	0.36363636363636365	0.26666666666666666	0.2777777777777778	0.39285714285714285	0.5714285714285714	0.7333333333333333	0.5	0.16666666666666666	1.0	1.0	0.8333333333333334	0.16666666666666666	0.6383	36.0	0.0	0.0
PF3D7_1102900	0.1	0.2	0.26373626373626374	0.4230769230769231	0.5151515151515151	0.6181818181818182	0.7111111111111111	0.7777777777777778	0.8214285714285714	0.7142857142857143	0.6	0.4	0.3333333333333333	0.0	1.0	1.0	0.0	0.0	39.0	0.0	0.0
PF3D7_0301200	0.05	0.05714285714285714	0.12087912087912088	0.1282051282051282	0.19696969696969696	0.23636363636363636	0.28888888888888886	0.3611111111111111	0.35714285714285715	0.47619047619047616	0.6666666666666666	0.9	1.0	1.0	1.0	0.95	0.05	0.6093	0.0	0.0	0.0
PF3D7_1465400	0.05	0.09523809523809523	0.0989010989010989	0.11538461538461539	0.13636363636363635	0.16363636363636364	0.06666666666666667	0.1388888888888889	0.25	0.2857142857142857	0.4	0.6	0.3333333333333333	0.3333333333333333	1.0	0.95	0.05	0.6028	0.0	0.0	0.0
PF3D7_1339200	0.18333333333333332	0.23809523809523808	0.16483516483516483	0.20512820512820512	0.19696969696969696	0.23636363636363636	0.3333333333333333	0.2777777777777778	0.35714285714285715	0.5714285714285714	0.6666666666666666	0.5	0.3333333333333333	0.3333333333333333	1.0	0.8351648351648352	0.16483516483516483	0.6358	6.0	0.0	0.0
PF3D7_0723400	0.19166666666666668	0.13333333333333333	0.17582417582417584	0.11538461538461539	0.19696969696969696	0.21818181818181817	0.28888888888888886	0.3055555555555556	0.42857142857142855	0.5238095238095238	0.6666666666666666	0.9	0.3333333333333333	0.6666666666666666	0.0	0.9	0.0	0.0	42.0	0.0	0.0
PF3D7_0301500	0.1	0.20952380952380953	0.27472527472527475	0.32051282051282054	0.3939393939393939	0.45454545454545453	0.5555555555555556	0.6666666666666666	0.75	0.8571428571428571	0.6666666666666666	0.2	0.16666666666666666	0.0	0.0	0.8571428571428571	0.0	0.0	39.0	0.0	0.0
PF3D7_0806700	0.075	0.2571428571428571	0.4175824175824176	0.5512820512820513	0.6515151515151515	0.7818181818181819	0.8888888888888888	0.6944444444444444	0.6071428571428571	0.47619047619047616	0.13333333333333333	0.2	0.3333333333333333	0.3333333333333333	0.0	0.8888888888888888	0.0	0.0	42.0	0.0	0.0
PF3D7_1217200	0.15	0.14285714285714285	0.12087912087912088	0.10256410256410256	0.18181818181818182	0.18181818181818182	0.24444444444444444	0.25	0.2857142857142857	0.47619047619047616	0.5333333333333333	0.7	0.3333333333333333	1.0	0.0	1.0	0.0	0.0	42.0	0.0	0.0
PF3D7_0424500	0.125	0.08571428571428572	0.13186813186813187	0.14102564102564102	0.19696969696969696	0.23636363636363636	0.24444444444444444	0.25	0.2857142857142857	0.3333333333333333	0.4666666666666667	0.8	0.6666666666666666	0.3333333333333333	0.0	0.8	0.0	0.0	42.0	0.0	0.0
PF3D7_0419800	0.15833333333333333	0.1523809523809524	0.24175824175824176	0.2692307692307692	0.2878787878787879	0.32727272727272727	0.4222222222222222	0.4444444444444444	0.5357142857142857	0.7142857142857143	0.8	0.8	0.3333333333333333	0.0	0.0	0.8	0.0	0.0	39.0	0.0	0.0
PF3D7_1476000	0.08333333333333333	0.10476190476190476	0.1978021978021978	0.2564102564102564	0.25757575757575757	0.2909090909090909	0.35555555555555557	0.4166666666666667	0.5	0.5238095238095238	0.6666666666666666	1.0	0.5	0.0	0.0	1.0	0.0	0.0	39.0	0.0	0.0
PF3D7_0631500	0.14166666666666666	0.17142857142857143	0.2087912087912088	0.23076923076923078	0.21212121212121213	0.3090909090909091	0.4222222222222222	0.3611111111111111	0.5714285714285714	0.5714285714285714	0.6	0.5	1.0	0.0	1.0	1.0	0.0	0.0	39.0	0.0	0.0
PF3D7_1364800	0.03333333333333333	0.0761904761904762	0.08791208791208792	0.08974358974358974	0.10606060606060606	0.12727272727272726	0.15555555555555556	0.19444444444444445	0.25	0.2857142857142857	0.3333333333333333	0.4	0.5	0.6666666666666666	1.0	0.9666666666666667	0.03333333333333333	0.6069	0.0	0.0	0.0
PF3D7_0912200	0.19166666666666668	0.1619047619047619	0.23076923076923078	0.3076923076923077	0.22727272727272727	0.38181818181818183	0.4222222222222222	0.4166666666666667	0.6428571428571429	0.7142857142857143	0.4666666666666667	0.7	0.5	0.3333333333333333	0.0	0.7142857142857143	0.0	0.0	42.0	0.0	0.0
PF3D7_0602800	0.20833333333333334	0.17142857142857143	0.32967032967032966	0.3333333333333333	0.42424242424242425	0.45454545454545453	0.6	0.6388888888888888	0.5	0.5238095238095238	0.5333333333333333	0.5	0.6666666666666666	0.3333333333333333	0.0	0.6666666666666666	0.0	0.0	42.0	0.0	0.0
PF3D7_0410000	0.1	0.09523809523809523	0.1978021978021978	0.32051282051282054	0.42424242424242425	0.509090909090909	0.5777777777777777	0.6666666666666666	0.75	0.8571428571428571	0.8666666666666667	0.8	0.5	0.3333333333333333	0.0	0.8666666666666667	0.0	0.0	42.0	0.0	0.0
PF3D7_1148900	0.10833333333333334	0.12380952380952381	0.14285714285714285	0.16666666666666666	0.19696969696969696	0.2727272727272727	0.3333333333333333	0.4166666666666667	0.5	0.6190476190476191	0.5333333333333333	0.6	0.6666666666666666	0.6666666666666666	1.0	0.8916666666666666	0.10833333333333334	0.6318	0.0	0.0	0.0
PF3D7_1142100	0.10833333333333334	0.1619047619047619	0.27472527472527475	0.3717948717948718	0.4696969696969697	0.5636363636363636	0.6444444444444445	0.75	0.7857142857142857	0.8095238095238095	0.5333333333333333	0.6	0.5	0.3333333333333333	0.0	0.8095238095238095	0.0	0.0	42.0	0.0	0.0
