	dl_reg_pval	dl_reg_pval_norm	jtk_per_pval	jtk_per_pval_norm	dlxjtk_score
PF3D7_1014900	0.000605	0.0008281998631074608	6.804813352432401e-07	3.502048411772911e-05	4.8958182309058175e-08
PF3D7_0208000	3.3e-05	4.517453798767968e-05	1.4691891552010599e-05	0.0007561076668953307	5.3793780013256106e-08
PF3D7_0717600	0.000121	0.00016563997262149214	5.735652685057448e-06	0.00029518125385476554	5.4612395209848796e-08
PF3D7_0903300	3.4e-05	4.6543463381245726e-05	1.4691891552010599e-05	0.0007561076668953307	5.5430839139722565e-08
PF3D7_1449100	0.00035099999999999997	0.0004804928131416839	2.0695381558476795e-06	0.00010650729764981902	6.370572266961177e-08
PF3D7_1440000	0.000145	0.00019849418206707736	5.735652685057448e-06	0.00029518125385476554	6.620663441276793e-08
PF3D7_1125600	0.000728	0.0009965776865160849	6.804813352432401e-07	3.502048411772911e-05	6.96481072314757e-08
PF3D7_1133300	4.4e-05	6.023271731690624e-05	1.4691891552010599e-05	0.0007561076668953307	7.183865311257454e-08
PF3D7_1463900	0.000384	0.0005256673511293635	2.0695381558476795e-06	0.00010650729764981902	7.226880279460078e-08
PF3D7_1446600	0.001376	0.001883641341546886	2.0008650961031914e-07	1.0297308785810143e-05	8.822637829453556e-08
PF3D7_1232700	0.00044	0.0006023271731690624	2.0695381558476795e-06	0.00010650729764981902	8.841829484987837e-08
PF3D7_1215400	0.000197	0.00026967830253251204	5.735652685057448e-06	0.00029518125385476554	9.283377503051337e-08
PF3D7_0105800	0.000202	0.00027652292950034233	5.735652685057448e-06	0.00029518125385476554	9.552170741601676e-08
PF3D7_0607600	0.000205	0.0002806297056810404	5.735652685057448e-06	0.00029518125385476554	9.714640009243154e-08
PF3D7_1458300	6.6e-05	9.034907597535936e-05	1.4691891552010599e-05	0.0007561076668953307	1.0824489293271787e-07
PF3D7_1224100	0.000242	0.00033127994524298433	5.735652685057448e-06	0.00029518125385476554	1.1797498563712763e-07
PF3D7_0604100	7.2e-05	9.856262833675567e-05	1.4691891552010599e-05	0.0007561076668953307	1.1826707967527426e-07
PF3D7_0409500	0.000251	0.0003436002737850787	5.735652685057448e-06	0.00029518125385476554	1.2327928283682606e-07
PF3D7_1018200	0.000562	0.0007693360711841206	2.0695381558476795e-06	0.00010650729764981902	1.3191799972185927e-07
PF3D7_1012300	0.000982	0.0013442847364818619	6.804813352432401e-07	3.502048411772911e-05	1.323133999144272e-07
PF3D7_0613800	8.1e-05	0.00011088295687885012	1.4691891552010599e-05	0.0007561076668953307	1.3339048995844208e-07
PF3D7_0802800	0.000582	0.0007967145790554416	2.0695381558476795e-06	0.00010650729764981902	1.4029215587249738e-07
PF3D7_0919900	8.7e-05	0.0001190965092402464	1.4691891552010599e-05	0.0007561076668953307	1.4353861200609416e-07
PF3D7_1449200	0.001088	0.0014893908281998632	6.804813352432401e-07	3.502048411772911e-05	1.6806900699793575e-07
PF3D7_1325400	0.000102	0.00013963039014373718	1.4691891552010599e-05	0.0007561076668953307	1.6916819569453932e-07
