# RNA vs. RNA Profile Dissimilarity Measure Over Phase Shifts 
# Time series file 1:  /Users/haase-admin/Desktop/moseley/DLxJTK_TAKT_runs_avg/Data/AA_3D7_1stage_periodic_jtk05.txt 
# Time series file 2:  /Users/haase-admin/Desktop/moseley/DLxJTK_TAKT_runs_avg/Data/AA_FUP_1stage_periodic_jtk05.txt 
# No. of Randomized Curves:  10000 
	shift_0	shift_1	shift_2	shift_3	shift_4	shift_5	shift_6	shift_7	shift_8	shift_9	shift_10	shift_11	shift_12	shift_13	shift_14	kt_diss_range	kt_diss	kt_diss_pval	est_delay	min_dist_flag	min_pval_flag
PF3D7_1363000	0.13333333333333333	0.2	0.27472527472527475	0.2948717948717949	0.3787878787878788	0.34545454545454546	0.26666666666666666	0.4444444444444444	0.42857142857142855	0.5238095238095238	0.7333333333333333	0.7	1.0	1.0	1.0	0.8666666666666667	0.13333333333333333	0.6223	0.0	0.0	0.0
PF3D7_0629900	0.175	0.24761904761904763	0.3626373626373626	0.41025641025641024	0.5	0.4909090909090909	0.6	0.75	0.75	0.6666666666666666	0.4	0.2	0.3333333333333333	0.6666666666666666	1.0	0.825	0.175	0.6858	0.0	0.0	0.0
PF3D7_1104100	0.20833333333333334	0.2857142857142857	0.26373626373626374	0.19230769230769232	0.30303030303030304	0.4909090909090909	0.6	0.6666666666666666	0.4642857142857143	0.5238095238095238	0.8	0.7	0.5	0.0	0.0	0.8	0.0	0.0	39.0	0.0	0.0
PF3D7_1354800	0.18333333333333332	0.29523809523809524	0.43956043956043955	0.5512820512820513	0.6666666666666666	0.7454545454545455	0.9111111111111111	0.8055555555555556	0.7142857142857143	0.47619047619047616	0.4	0.3	0.3333333333333333	0.6666666666666666	0.0	0.9111111111111111	0.0	0.0	42.0	0.0	0.0
PF3D7_1004300	0.125	0.21904761904761905	0.27472527472527475	0.3717948717948718	0.4090909090909091	0.4909090909090909	0.6	0.6944444444444444	0.8214285714285714	0.6666666666666666	0.3333333333333333	0.6	0.16666666666666666	0.3333333333333333	1.0	0.875	0.125	0.6272	0.0	0.0	0.0
PF3D7_1243600	0.21666666666666667	0.2	0.3956043956043956	0.44871794871794873	0.5606060606060606	0.45454545454545453	0.6444444444444445	0.5555555555555556	0.75	0.5714285714285714	0.7333333333333333	0.6	0.8333333333333334	0.6666666666666666	1.0	0.8	0.2	0.6953	3.0	0.0	0.0
PF3D7_0220000	0.075	0.1619047619047619	0.25274725274725274	0.34615384615384615	0.3939393939393939	0.45454545454545453	0.5555555555555556	0.6944444444444444	0.7857142857142857	0.8571428571428571	0.8	0.7	0.5	0.0	0.0	0.8571428571428571	0.0	0.0	39.0	0.0	0.0
PF3D7_1444500	0.1	0.17142857142857143	0.25274725274725274	0.32051282051282054	0.3939393939393939	0.4727272727272727	0.5777777777777777	0.6666666666666666	0.75	0.8571428571428571	0.9333333333333333	0.9	1.0	1.0	1.0	0.9	0.1	0.6138	0.0	0.0	0.0
PF3D7_0933000	0.15833333333333333	0.23809523809523808	0.3076923076923077	0.358974358974359	0.3939393939393939	0.4727272727272727	0.5777777777777777	0.6111111111111112	0.7857142857142857	0.42857142857142855	0.6666666666666666	0.4	0.5	0.6666666666666666	0.0	0.7857142857142857	0.0	0.0	42.0	0.0	0.0
PF3D7_1010100	0.15	0.21904761904761905	0.32967032967032966	0.44871794871794873	0.5606060606060606	0.6363636363636364	0.7555555555555555	0.8611111111111112	0.8214285714285714	0.8095238095238095	0.8	0.7	0.5	0.0	0.0	0.8611111111111112	0.0	0.0	39.0	0.0	0.0
PF3D7_1130200	0.13333333333333333	0.2761904761904762	0.4065934065934066	0.5641025641025641	0.696969696969697	0.7818181818181819	0.8222222222222222	0.8888888888888888	0.9642857142857143	1.0	1.0	1.0	1.0	1.0	1.0	0.8666666666666667	0.13333333333333333	0.6206	0.0	0.0	0.0
PF3D7_0102700	0.14166666666666666	0.08571428571428572	0.08791208791208792	0.1794871794871795	0.2878787878787879	0.4	0.5333333333333333	0.6388888888888888	0.6785714285714286	0.7619047619047619	0.9333333333333333	1.0	1.0	1.0	1.0	0.9142857142857143	0.08571428571428572	0.6066	3.0	0.0	0.0
PF3D7_0622900	0.09166666666666666	0.06666666666666667	0.08791208791208792	0.14102564102564102	0.18181818181818182	0.21818181818181817	0.26666666666666666	0.3333333333333333	0.42857142857142855	0.5714285714285714	0.6666666666666666	0.7	0.8333333333333334	0.0	0.0	0.8333333333333334	0.0	0.0	39.0	0.0	0.0
PF3D7_1450200	0.275	0.26666666666666666	0.2967032967032967	0.3974358974358974	0.5	0.4909090909090909	0.6	0.6388888888888888	0.7142857142857143	0.6666666666666666	0.6666666666666666	0.8	0.8333333333333334	0.6666666666666666	0.0	0.8333333333333334	0.0	0.0	42.0	0.0	0.0
PF3D7_1472000	0.075	0.17142857142857143	0.23076923076923078	0.2564102564102564	0.2878787878787879	0.32727272727272727	0.3333333333333333	0.3888888888888889	0.4642857142857143	0.5238095238095238	0.6666666666666666	0.7	1.0	1.0	1.0	0.925	0.075	0.6041	0.0	0.0	0.0
PF3D7_0519800	0.075	0.11428571428571428	0.18681318681318682	0.2564102564102564	0.30303030303030304	0.38181818181818183	0.4444444444444444	0.5277777777777778	0.6428571428571429	0.8095238095238095	0.8	1.0	1.0	1.0	1.0	0.925	0.075	0.6035	0.0	0.0	0.0
PF3D7_1339200	0.15833333333333333	0.19047619047619047	0.27472527472527475	0.2564102564102564	0.24242424242424243	0.3090909090909091	0.4	0.5	0.5	0.5238095238095238	0.9333333333333333	0.7	0.16666666666666666	0.3333333333333333	1.0	0.8416666666666667	0.15833333333333333	0.6371	0.0	0.0	0.0
PF3D7_0411000	0.09166666666666666	0.13333333333333333	0.24175824175824176	0.3717948717948718	0.5	0.6727272727272727	0.7777777777777778	0.8611111111111112	0.9642857142857143	0.9523809523809523	0.9333333333333333	0.9	0.8333333333333334	1.0	1.0	0.9083333333333333	0.09166666666666666	0.5999	0.0	0.0	0.0
PF3D7_1414600	0.15833333333333333	0.20952380952380953	0.32967032967032966	0.358974358974359	0.45454545454545453	0.509090909090909	0.6222222222222222	0.6111111111111112	0.7857142857142857	0.6190476190476191	0.5333333333333333	0.5	0.3333333333333333	0.0	0.0	0.7857142857142857	0.0	0.0	39.0	0.0	0.0
PF3D7_1123000	0.16666666666666666	0.2	0.2857142857142857	0.2564102564102564	0.2727272727272727	0.4	0.5555555555555556	0.6111111111111112	0.6785714285714286	0.7142857142857143	0.8	0.9	0.8333333333333334	0.6666666666666666	0.0	0.9	0.0	0.0	42.0	0.0	0.0
PF3D7_1450100	0.058333333333333334	0.12380952380952381	0.16483516483516483	0.1794871794871795	0.21212121212121213	0.2545454545454545	0.3111111111111111	0.3888888888888889	0.5	0.5714285714285714	0.8	0.9	0.5	0.0	1.0	1.0	0.0	0.0	39.0	0.0	0.0
PF3D7_0401900	0.1	0.047619047619047616	0.054945054945054944	0.01282051282051282	0.030303030303030304	0.05454545454545454	0.06666666666666667	0.08333333333333333	0.10714285714285714	0.14285714285714285	0.2	0.3	0.5	1.0	1.0	0.9871794871794872	0.01282051282051282	0.6098	9.0	0.0	0.0
PF3D7_1235300	0.16666666666666666	0.22857142857142856	0.31868131868131866	0.3333333333333333	0.42424242424242425	0.4727272727272727	0.5777777777777777	0.7222222222222222	0.8214285714285714	0.8095238095238095	0.6666666666666666	0.9	0.5	0.0	1.0	1.0	0.0	0.0	39.0	0.0	0.0
PF3D7_1010300	0.11666666666666667	0.17142857142857143	0.27472527472527475	0.358974358974359	0.45454545454545453	0.5818181818181818	0.7111111111111111	0.8333333333333334	0.8928571428571429	0.9523809523809523	1.0	1.0	1.0	1.0	1.0	0.8833333333333333	0.11666666666666667	0.6243	0.0	0.0	0.0
