	dl_reg_pval	dl_reg_pval_norm	jtk_per_pval	jtk_per_pval_norm	dlxjtk_score
PF3D7_1435500	0.9999049999999999	1.4303902403784603	1.0	84.01020034495392	1.7352413504561807e+18
PF3D7_1108700	0.9999049999999999	1.4303902403784603	1.0	84.01020034495392	1.7352413504561807e+18
PF3D7_0620500	0.999906	1.4303916709046005	1.0	84.01020034495392	1.7352465566783324e+18
PF3D7_1014400	0.9999120000000001	1.4304002540614429	1.0	84.01020034495392	1.7352777942299308e+18
PF3D7_0627300	0.999914	1.430403115113723	1.0	84.01020034495392	1.7352882068304356e+18
PF3D7_0513200	0.9999180000000001	1.4304088372182848	1.0	84.01020034495392	1.7353090321564132e+18
PF3D7_1234500	0.999919	1.4304102677444253	1.0	84.01020034495392	1.735314238513941e+18
PF3D7_1326400	0.999921	1.4304131287967061	1.0	84.01020034495392	1.735324651260238e+18
PF3D7_0725100	0.999927	1.4304217119535483	1.0	84.01020034495392	1.735355889749054e+18
PF3D7_0703700	0.999934	1.4304317256365306	1.0	84.01020034495392	1.7353923351264934e+18
PF3D7_0727300	0.999935	1.4304331561626709	1.0	84.01020034495392	1.735397541650639e+18
PF3D7_1438000	0.999936	1.4304345866888115	1.0	84.01020034495392	1.7354027481852004e+18
PF3D7_1123300	0.999942	1.4304431698456537	1.0	84.01020034495392	1.7354339876112492e+18
