,AS1901_FUP,AS1902_FUP,AS1903_FUP,AS1904_FUP,AS1905_FUP,AS1906_FUP,AS1907_FUP,AS1908_FUP,AS1909_FUP,AS1910_FUP,AS1911_FUP,AS1912_FUP,AS1913_FUP,AS1914_FUP,AS1915_FUP,AS1916_FUP
PF3D7_1332300,11.44232649,9.859058029,16.28664746,17.58746875,21.16568157,23.72913752,16.95381602,16.51869173,12.71129885,16.5498297,14.84052701,24.20627731,29.2785304,50.72752339,63.81683488,93.49579461
PF3D7_1332400,12.25256158,28.77211879,42.57107987,54.33520876,54.25642189,55.7905346,49.01465785,49.0472777,62.72912941,56.18749695,41.79677664,37.16934588,31.06464573,39.74620127,38.16260772,42.95703697
PF3D7_1332500,39.11789996,102.3078246,135.4908445,242.7567137,149.4136041,149.2331197,126.5570355,97.67273625,145.0738239,169.1305855,97.64510635,85.59469221,72.55870467,124.8557436,162.9791141,207.9953547
PF3D7_1332600,14.32578611,13.90536995,6.415621907,5.481044532,3.637571317,3.012803909,2.214067389,3.208898589,6.045414307,11.61821148,20.40602416,36.05030884,48.81974621,90.20293889,105.3554178,141.602929
PF3D7_1332700,141.4094442,220.398855,230.5545172,250.9983505,203.887157,186.9906871,171.4115039,143.5685141,179.6642094,163.6422482,154.382337,145.6199362,126.1410523,129.9617605,113.5752326,100.4032058
PF3D7_1332800,147.3861521,252.8712084,272.3882086,255.8693034,278.4402308,294.076874,285.2677036,281.0564368,334.5319044,325.05589,354.5185651,323.528776,287.6360605,217.9864144,185.6094403,149.8350943
PF3D7_1332900,22.30391944,83.64765158,160.4933206,206.1864757,215.378074,224.1243998,209.8519624,173.3954398,198.6874335,211.0901697,206.3004104,224.6058548,213.6426534,232.1285483,198.8651774,197.1558154
PF3D7_1333000,4.725217922,20.06614679,26.81322964,44.03966375,51.28578122,51.47590679,69.01222405,98.27771199,156.5960451,175.0178524,240.2414783,248.0272542,251.0962941,245.4543543,204.0721746,167.9389226
PF3D7_1333100,2.245562278,1.456892258,1.225234029,0.826933737,0.849216337,0.991737654,0.607345091,0.453064271,0.514445204,0.659732192,0.866206022,0.75470192,0.866357982,1.299422601,1.276834975,2.415829638
PF3D7_1333200,1.641535738,2.072447062,4.01397546,5.881616791,9.236324396,10.38475335,11.80739625,14.33221817,16.70236374,19.56363833,20.43607717,24.58250641,27.95539768,40.60092236,40.31350778,56.99410276
PF3D7_1333300,14.62440088,22.88045542,33.44489595,40.81620105,36.23990661,35.86316714,44.75827739,58.16930028,70.2643077,63.38727331,61.43997495,61.38395396,67.94828754,87.06389505,101.7365588,117.0425746
PF3D7_1333400,26.62729497,58.95398477,90.42217814,144.2721,97.21217475,89.70592125,83.28166619,81.82454467,129.9526823,132.2646614,89.68465998,90.20119115,97.29259736,144.4754191,179.1555926,196.2252197
PF3D7_1333500,3.002183912,4.249699101,1.997213439,2.695914631,2.905165413,2.339813945,1.528441326,2.198916757,3.084313186,6.289900928,12.64335808,20.79250688,26.44041416,35.23984355,32.87869801,26.5362367
PF3D7_1333600,121.8335193,188.1928876,211.5943152,231.8898659,208.0624521,187.6905575,168.9370982,135.8799433,121.6989079,120.1494585,107.5958127,105.7081984,82.93199254,67.38138903,51.50308836,42.75451675
PF3D7_1333700,26.71912699,37.82188343,46.29182987,51.75259942,35.72668028,32.66161337,25.29302247,25.57901705,49.92118213,60.12515681,72.44116417,92.36492268,97.56861939,142.988479,184.1714448,186.5064022
PF3D7_1333800,15.62338011,29.97872842,89.27476977,129.7118343,129.590413,140.6058918,124.3256938,92.1034218,86.57513991,88.25453128,102.567967,115.9918319,116.0031156,123.3336849,118.5145028,118.813316
PF3D7_1333900,1.96451498,1.042815554,1.278956925,1.331782468,0.731322873,0.840502015,0.365290576,0.743175403,0.913354845,2.086663516,3.410075173,6.700963157,12.13005035,20.73147942,21.84193463,31.58514952
PF3D7_1334000,1.646410011,1.0358011,1.197762414,0.88188286,1.349035369,1.211876729,0.494772907,0.759267221,0.946655168,1.322953827,2.10755219,4.498080211,6.775463322,19.38859968,21.96843243,30.23703025
PF3D7_1334100,1.575392777,1.877915815,3.701510787,4.596724786,5.550112056,3.991475293,4.619690608,11.21320915,18.94627139,18.34872424,17.04101895,20.32291732,24.24262317,51.93965059,49.33358158,62.33052974
PF3D7_1334200,7.304136858,48.39657329,77.88711947,125.9871852,116.190588,108.1680388,111.3010973,84.81954903,127.9190335,150.9933821,125.0733299,138.6154872,110.7282418,97.86091647,87.52688117,92.25640377
PF3D7_1334300,4.079438139,5.272452772,6.862279128,4.417721892,3.320251266,3.83831218,4.893088929,10.30622723,34.27573403,71.09309408,121.4733848,152.572149,140.4595488,104.1696847,85.8908647,84.75963253
PF3D7_1334400,1.052758229,1.1176628,0.626629955,0.845848937,0.298595422,0.232471837,0.142366914,0.3641217,0.42561311,0.380669295,0.27072819,0.068480757,0.041304765,0.577128952,2.206276692,4.233259169
