,ORF,dtw_score,cost
1041,PF3D7_1432100,1.7430138426790416,1.7430138426790416
1042,PF3D7_0304600,1.7420005080122152,1.7420005080122152
1043,PF3D7_1008800,1.7387421613753005,1.7387421613753005
1044,PF3D7_0305200,1.7387353265660836,1.7387353265660836
1045,PF3D7_1225800,1.7370972725437586,1.7370972725437586
1046,PF3D7_0210500,1.7369590801657087,1.7369590801657087
1047,PF3D7_1145100,1.7367412305483032,1.7367412305483032
1048,PF3D7_0219800,1.7367145395561725,1.7367145395561725
1049,PF3D7_1011100,1.7362753763573604,1.7362753763573604
1050,PF3D7_1118600,1.736122050731077,1.736122050731077
1051,PF3D7_0209200,1.7360243658341874,1.7360243658341874
1052,PF3D7_0708200,1.7357716865901,1.7357716865901
1053,PF3D7_0206700,1.7347744449405942,1.7347744449405942
1054,PF3D7_1235400,1.7340526601374249,1.7340526601374249
1055,PF3D7_0818000,1.7340400052623366,1.7340400052623366
1056,PF3D7_1344200,1.7327463053712686,1.7327463053712686
1057,PF3D7_1323900,1.732608021915451,1.732608021915451
1058,PF3D7_1329400,1.732197193807191,1.732197193807191
1059,PF3D7_1337500,1.731990302149343,1.731990302149343
1060,PF3D7_1407600,1.7319823998666253,1.7319823998666253
1061,PF3D7_0102900,1.7316368565185347,1.7316368565185347
1062,PF3D7_0415400,1.7313530519581488,1.7313530519581488
1063,PF3D7_1122100,1.728902971891973,1.728902971891973
1064,PF3D7_1351800.1,1.7286684143232771,1.7286684143232771
1065,PF3D7_0106500,1.7280864673002774,1.7280903693867513
1066,PF3D7_0719800,1.7280348066296842,1.7280348066296842
1067,PF3D7_0213800,1.7278037369346606,1.7278037369346606
1068,PF3D7_1326500,1.7251456250646737,1.7251456250646737
1069,PF3D7_1316500,1.7239954843228877,1.7239954843228877
1070,PF3D7_0717500,1.723877409820758,1.732928914708217
1071,PF3D7_1323300,1.7236969964111848,1.7236969964111848
1072,PF3D7_1439300,1.7229896178679558,1.7229896178679558
1073,PF3D7_0926400,1.7229744582850244,1.7229744582850244
1074,PF3D7_1364000,1.7222909528989456,1.7222909528989456
1075,PF3D7_0113000,1.7214501776376243,1.7214501776376243
1076,PF3D7_1106700,1.7212980718489823,1.7212980718489823
1077,PF3D7_1136900,1.7211856062852895,1.7211856062852895
1078,PF3D7_0109700,1.7200109606137386,1.7200109606137386
1079,PF3D7_1365500,1.7196632768254976,1.7196632768254976
1080,PF3D7_0215700,1.7193921115957629,1.7193921115957629
1081,PF3D7_1349300,1.719170099747517,1.719170099747517
1082,PF3D7_1342700,1.7186526573374752,1.7186526573374752
1083,PF3D7_1021400,1.7171083991594336,1.7171083991594336
1084,PF3D7_0321000,1.7166320164765416,1.7166320164765416
1085,PF3D7_1223600,1.7164101842304522,1.7164101842304522
1086,PF3D7_0905300,1.7146884159075704,1.7146884159075704
1087,PF3D7_1310100,1.713658534935617,1.713658534935617
1088,PF3D7_0806100,1.7135430580028734,1.7135430580028734
1089,PF3D7_0622200,1.7133228861864536,1.7133228861864536
1090,PF3D7_1214300,1.7131422941425758,1.7131422941425758
1091,PF3D7_0724200,1.7127664526616744,1.7127664526616744
1092,PF3D7_0502500,1.7125457064864975,1.7125457064864975
1093,PF3D7_1252500,1.7112573978294785,1.7112573978294785
1094,PF3D7_1123300,1.7111401807239568,1.7111401807239568
1095,PF3D7_1003800,1.7110813141541785,1.7110813141541785
1096,PF3D7_1246400,1.709461116437369,1.709461116437369
1097,PF3D7_1105000,1.707443320379509,1.707443320379509
1098,PF3D7_1342400,1.7036481669281565,1.7036481669281565
1099,PF3D7_1465500,1.70363763998511,1.70363763998511
1100,PF3D7_0721300,1.7034410755239522,1.7034410755239522
1101,PF3D7_1036000,1.70269469132123,1.70269469132123
1102,PF3D7_0607800,1.7021696704613565,1.7021696704613565
1103,PF3D7_0415800,1.7019215633189424,1.7019215633189424
1104,PF3D7_1251600,1.7016928982962036,1.7016928982962036
1105,PF3D7_1428400,1.7015279784413664,1.7015279784413664
1106,PF3D7_0710200,1.701077584382414,1.701077584382414
1107,PF3D7_1404700,1.7009435771936432,1.7009435771936432
1108,PF3D7_0723700,1.7005104602946661,1.7005104602946661
1109,PF3D7_0509700,1.7004292205971303,1.849167612926761
1110,PF3D7_0217400,1.6984973241117838,1.7115119924823188
1111,PF3D7_1116400,1.6975010748146566,1.6975010748146566
1112,PF3D7_1349900,1.6972930669910342,1.6972930669910342
1113,PF3D7_1347500,1.697102369401624,1.697102369401624
1114,PF3D7_0323200,1.6967152344260237,1.6967152344260237
1115,PF3D7_1311700,1.6939004568102156,1.6939004568102156
1116,PF3D7_0806000,1.6936079588708506,1.6936079588708506
1117,PF3D7_0603300,1.6924551333745417,1.6924551333745417
1118,PF3D7_1316800,1.6919504978501465,1.6919504978501465
1119,PF3D7_1427600,1.690889058737534,1.690980093137504
1120,PF3D7_1463400,1.689981665409245,1.689981665409245
1121,PF3D7_0217300,1.6897124743658867,1.6897124743658867
1122,PF3D7_1108200,1.6895126544437378,1.6895126544437378
1123,PF3D7_1343600,1.6894998897979185,1.6894998897979185
1124,PF3D7_1356000,1.6893615917030014,1.7067547757453196
1125,PF3D7_0818700,1.6888775848039523,1.6888775848039523
1126,PF3D7_0931000,1.6882331921210125,1.6882331921210125
1127,PF3D7_1139800,1.6870042276508106,1.6870042276508106
1128,PF3D7_0922000,1.6869654849308697,1.6869654849308697
1129,PF3D7_0317900,1.686350743440593,1.686350743440593
1130,PF3D7_0814700,1.6852845908331509,1.6852845908331509
1131,PF3D7_1230500,1.6841894470224241,1.6841894470224241
1132,PF3D7_0722300,1.684161376729277,1.684161376729277
1133,PF3D7_0322400,1.684122195397797,1.684122195397797
1134,PF3D7_0609400,1.683954643476315,1.683954643476315
1135,PF3D7_0807100,1.6835330721985922,1.6835330721985922
1136,PF3D7_0417300,1.6833694376611357,1.6833694376611357
1137,PF3D7_1323400,1.6833256110158334,1.6833256110158334
1138,PF3D7_1475900,1.6826485735928116,1.6826485735928116
1139,PF3D7_1211200,1.6822327015510399,1.6822327015510399
1140,PF3D7_1369200,1.6819833700560707,1.6819833700560707
1141,PF3D7_1355700,1.6800278594977773,1.6800278594977773
1142,PF3D7_1447000,1.6799359193066237,1.6799359193066237
1143,PF3D7_0727000,1.6793169380864938,1.6793169380864938
1144,PF3D7_0615300,1.6783250248091224,1.6783250248091224
1145,PF3D7_0708900,1.677104706908125,1.677104706908125
1146,PF3D7_1406300,1.6768868612289936,1.6768868612289936
1147,PF3D7_0816100,1.6766694510602596,1.6766694510602596
1148,PF3D7_1331200,1.676082249580615,1.676082249580615
1149,PF3D7_1208200,1.6759403282977128,1.6759403282977128
1150,PF3D7_0409800,1.6748496213253083,1.6748496213253083
1151,PF3D7_0414100,1.6742433538029182,1.6742460703055346
1152,PF3D7_1203700,1.674126961756543,1.674126961756543
1153,PF3D7_1360500,1.6740705139206074,1.6740705139206074
1154,PF3D7_1457100,1.6739567960724062,1.6739567960724062
1155,PF3D7_0932700,1.6730928814928978,1.6730928814928978
1156,PF3D7_0517200,1.673048101036085,1.673048101036085
1157,PF3D7_1445100,1.6718449610243742,1.6718449610243742
1158,PF3D7_1475800,1.6713896739669036,1.6713896739669036
1159,PF3D7_0708000,1.671045144686161,1.671045144686161
1160,PF3D7_0530700,1.670648447722322,1.670648447722322
1161,PF3D7_1464400,1.669602525234862,1.669602525234862
1162,PF3D7_1442700,1.6693865827957894,1.6694675553335454
1163,PF3D7_0614200,1.668687920319694,1.668687920319694
1164,PF3D7_1135700,1.6682612979868898,1.6682612979868898
1165,PF3D7_1451000,1.6681403478817904,1.6681403478817904
