# Prot. vs. RNA Profile Dissimilarity Measure Over Phase Shifts 
# Time series file:  C:\Users\Francis Motta\PycharmProjects\biochron\proteomics\data\clb1-6_linearSpline_time-series.tsv 
# No. of Randomized Curves:  10000 
	shift_0	shift_1	shift_2	shift_3	shift_4	shift_5	shift_6	shift_7	shift_8	shift_9	shift_10	kt_diss_range	kt_diss	kt_diss_pval	est_delay	min_dist_flag	min_pval_flag
PCL1_2_p_r1	0.6005291005291006	0.6267806267806267	0.6092307692307692	0.5466666666666666	0.5	0.5019762845849802	0.5800865800865801	0.638095238095238	0.6105263157894737	0.5087719298245614	0.49019607843137253	0.14789915966386552	0.49019607843137253	0.9982	68.96551729999999	0.0	0.0
PCL1_2_p_r2	0.5	0.5156695156695157	0.5661538461538461	0.5566666666666666	0.532608695652174	0.45849802371541504	0.4458874458874459	0.4380952380952381	0.42105263157894735	0.3391812865497076	0.39869281045751637	0.22697255960413854	0.3391812865497076	0.1688	62.06896556999999	0.0	0.0
ASH1_2_p_r1	0.4470899470899471	0.47863247863247865	0.48307692307692307	0.47	0.39855072463768115	0.30434782608695654	0.2857142857142857	0.3333333333333333	0.33157894736842103	0.3157894736842105	0.37254901960784315	0.19736263736263737	0.2857142857142857	0.0254	41.37931037999999	1.0	1.0
ASH1_2_p_r2	0.3862433862433862	0.3732193732193732	0.36615384615384616	0.38	0.41304347826086957	0.4782608695652174	0.5194805194805194	0.5476190476190477	0.6578947368421053	0.6900584795321637	0.6013071895424836	0.32390463337831754	0.36615384615384616	0.2496	13.793103459999998	0.0	0.0
FHL1_1_p_r1	0.5370370370370371	0.47293447293447294	0.47692307692307695	0.5066666666666667	0.5217391304347826	0.5059288537549407	0.5627705627705628	0.6571428571428571	0.6157894736842106	0.5614035087719298	0.5882352941176471	0.1842083842083842	0.47293447293447294	0.9933	6.896551729999999	0.0	0.0
FHL1_1_p_r2	0.3386243386243386	0.37606837606837606	0.40615384615384614	0.43666666666666665	0.37318840579710144	0.4150197628458498	0.47619047619047616	0.4666666666666667	0.4263157894736842	0.4093567251461988	0.5098039215686274	0.1711795829442888	0.3386243386243386	0.1667	0.0	0.0	0.0
FHL1_2_p_r1	0.5370370370370371	0.4985754985754986	0.47384615384615386	0.48333333333333334	0.4746376811594203	0.4426877470355731	0.45021645021645024	0.4666666666666667	0.38421052631578945	0.30409356725146197	0.28104575163398693	0.25599128540305016	0.28104575163398693	0.0188	68.96551729999999	1.0	1.0
FHL1_2_p_r2	0.47619047619047616	0.42165242165242167	0.40615384615384614	0.37	0.34782608695652173	0.34782608695652173	0.42857142857142855	0.5761904761904761	0.7157894736842105	0.7894736842105263	0.673202614379085	0.4416475972540046	0.34782608695652173	0.2088	27.586206919999995	0.0	0.0
FHL1_3_p_r1	0.5370370370370371	0.4472934472934473	0.39692307692307693	0.4666666666666667	0.5144927536231884	0.5810276679841897	0.70995670995671	0.8142857142857143	0.7526315789473684	0.6257309941520468	0.5359477124183006	0.41736263736263735	0.39692307692307693	0.6363	13.793103459999998	0.0	0.0
FHL1_3_p_r2	0.3941798941798942	0.42735042735042733	0.4553846153846154	0.4666666666666667	0.5108695652173914	0.5335968379446641	0.6103896103896104	0.7285714285714285	0.8315789473684211	0.783625730994152	0.6601307189542484	0.4373990531885269	0.3941798941798942	0.6138	0.0	0.0	0.0
INO4_1_p_r1	0.38095238095238093	0.5242165242165242	0.5969230769230769	0.48	0.42028985507246375	0.48221343873517786	0.5497835497835498	0.5285714285714286	0.4105263157894737	0.4269005847953216	0.5947712418300654	0.21597069597069596	0.38095238095238093	0.4913	0.0	0.0	0.0
INO4_1_p_r2	0.3333333333333333	0.34472934472934474	0.3353846153846154	0.4166666666666667	0.4420289855072464	0.43873517786561267	0.5584415584415584	0.6190476190476191	0.6157894736842106	0.6608187134502924	0.5816993464052288	0.3274853801169591	0.3333333333333333	0.1276	0.0	1.0	1.0
INO4_3_p_r1	0.36243386243386244	0.46153846153846156	0.5046153846153846	0.5233333333333333	0.5942028985507246	0.5928853754940712	0.5887445887445888	0.5619047619047619	0.5	0.543859649122807	0.5751633986928104	0.23176903611686217	0.36243386243386244	0.3242	0.0	0.0	0.0
INO4_3_p_r2	0.6031746031746031	0.6780626780626781	0.6646153846153846	0.68	0.6630434782608695	0.5810276679841897	0.5887445887445888	0.6142857142857143	0.5631578947368421	0.5789473684210527	0.5163398692810458	0.16366013071895424	0.5163398692810458	1.0	68.96551729999999	0.0	0.0
NRM1_wb_p_r1	0.5740740740740741	0.5299145299145299	0.46153846153846156	0.37	0.2753623188405797	0.25296442687747034	0.2554112554112554	0.28095238095238095	0.28421052631578947	0.30994152046783624	0.35294117647058826	0.32110964719660373	0.25296442687747034	0.0051	34.482758649999994	0.0	0.0
NRM1_wb_p_r2	0.5	0.50997150997151	0.5446153846153846	0.5833333333333334	0.6086956521739131	0.5770750988142292	0.5238095238095238	0.4523809523809524	0.41578947368421054	0.4093567251461988	0.38562091503267976	0.22307473714123333	0.38562091503267976	0.5089	68.96551729999999	0.0	0.0
NRM1_1_p_r1	0.37566137566137564	0.2934472934472934	0.2246153846153846	0.25333333333333335	0.2210144927536232	0.31225296442687744	0.36796536796536794	0.41904761904761906	0.5105263157894737	0.5497076023391813	0.5555555555555556	0.3345410628019324	0.2210144927536232	0.0015	27.586206919999995	0.0	0.0
