	dl_reg_pval	dl_reg_pval_norm	jtk_per_pval	jtk_per_pval_norm	dlxjtk_score
PF3D7_0100100	0.003732	0.006216026922791849	5.124670303241732e-08	1.0582316558369245e-06	2.607454326593286e-07
PF3D7_0702100	0.000178	0.000296477168343234	3.516389639901545e-05	0.0007261257039007786	3.576877678805642e-07
PF3D7_0202100	0.0017469999999999999	0.0029098068151439875	6.804813352432401e-07	1.4051770114948754e-05	3.871615316320952e-07
PF3D7_1373500	0.00434	0.007228712980953008	5.124670303241732e-08	1.0582316558369245e-06	4.073773009440757e-07
PF3D7_1477800	0.002837	0.004725313070728959	2.0008650961031914e-07	4.131736596627864e-06	4.5546918506004876e-07
PF3D7_1201200	0.00125	0.002082002586680014	2.0695381558476795e-06	4.2735447548596764e-05	4.755265722576485e-07
PF3D7_0113600	0.0008730000000000001	0.0014540706065373215	5.735652685057448e-06	0.00011843979961743773	5.438717745755375e-07
PF3D7_0701900	0.000544	0.000906087525723142	1.4691891552010599e-05	0.00030338390188000596	5.46651572702148e-07
PF3D7_0808700	0.008179	0.013622959325164668	1.099815087910326e-08	2.2710907682344955e-07	5.772749993799569e-07
PF3D7_0112800	0.002045	0.0034061562318085025	6.804813352432401e-07	1.4051770114948754e-05	6.032778537784788e-07
PF3D7_0201700	0.000579	0.0009643835981501825	1.4691891552010599e-05	0.00030338390188000596	6.166616700068741e-07
PF3D7_1149200	0.0009570000000000001	0.0015939811803622186	5.735652685057448e-06	0.00011843979961743773	6.778432067850288e-07
PF3D7_0400100	0.005934	0.009883682679487362	5.124670303241732e-08	1.0582316558369245e-06	1.032192698349742e-06
PF3D7_1001800	0.0016699999999999998	0.0027815554558044985	2.0695381558476795e-06	4.2735447548596764e-05	1.0404788928649628e-06
PF3D7_1479000	0.000889	0.001480720239646826	1.4691891552010599e-05	0.00030338390188000596	1.5661744022010488e-06
PF3D7_0814500	0.0014269999999999999	0.002376814152953904	5.735652685057448e-06	0.00011843979961743773	1.8980829989937948e-06
PF3D7_1255200	0.007573999999999999	0.01261527007321154	5.124670303241732e-08	1.0582316558369245e-06	2.137919149543086e-06
PF3D7_1428500	0.003409	0.005678037454393735	6.804813352432401e-07	1.4051770114948754e-05	2.652634884563609e-06
PF3D7_1002100	0.001113	0.0018538151031798843	1.4691891552010599e-05	0.00030338390188000596	2.724905602696369e-06
