ORF,AA13vAA17,AA13vAS15,AA13vAS16,AA17vAS15,AA17vAS16,AS15vAS16
PF3D7_0629300,1.063089965,0.936907297,1.892532753,0.548953902,2.095184329,1.789711237
PF3D7_0629400,0.59128263,0.817943182,1.61440696,0.764816272,1.780999436,1.186245912
PF3D7_0629500,2.248748337,2.689036719,2.724060093,2.740912908,3.400035563,2.553309245
PF3D7_0629600,3.019566353,2.891753822,2.998008385,2.067884935,2.68029395,3.067476902
PF3D7_0629700,1.770037396,2.819413999,2.465933939,2.059849226,2.381599756,3.048803618
PF3D7_0629800,1.805771439,3.161559651,3.257258023,2.404552694,3.68561051,3.220651957
PF3D7_0629900,1.670488199,1.519098691,2.913119058,1.362687204,2.296925719,2.290507545
PF3D7_0630100,2.836364638,2.891874727,3.038432927,2.144249639,4.089987821,3.208859937
PF3D7_0630300,0.28483297,1.226329748,0.971709463,1.016345521,0.856340994,0.762550539
PF3D7_0630500,2.927291929,3.004031632,2.755149141,2.324826333,3.016415079,3.36688024
PF3D7_0630600,0.457676106,1.208457066,1.105551257,0.876366793,0.878549688,0.982686329
PF3D7_0630700,2.520428811,2.298857526,2.066097785,1.961702265,2.296343688,1.371801267
PF3D7_0630900,2.218822696,3.373992001,4.057713106,2.111642884,4.43240935,3.739329017
PF3D7_0701900,0.646541545,0.868637475,1.330294918,0.459732706,1.230451271,0.891208327
PF3D7_0702100,0.300772046,0.297690485,1.06775735,0.10359545,0.8907769,0.852275017
PF3D7_0702200,1.340053177,2.233682853,2.619353373,1.891545234,2.455323781,2.092046188
PF3D7_0702300,0.973863244,1.873030803,1.605398329,1.767492189,1.501890182,1.559360476
PF3D7_0702400,1.010453632,1.091681151,1.741031969,0.869497076,1.525266304,1.64216241
PF3D7_0702500,0.546103966,0.764907199,0.888429864,0.880177761,0.797810772,0.840622675
PF3D7_0702900,2.131612035,2.177291713,4.541513185,1.908400431,4.352944612,4.277426662
PF3D7_0703000,1.418073105,2.961550658,2.033035491,2.594023086,1.604923771,3.081418308
PF3D7_0703100,3.7856586,3.6650495,2.892782784,2.282723525,3.491891622,3.751388947
PF3D7_0703200,0.387873572,1.017890334,1.356951207,0.862254621,1.313967813,1.089780527
PF3D7_0703300,0.568780104,0.714568851,0.95355673,0.785393885,0.750306878,0.916679859
PF3D7_0703400,2.833996941,2.298867753,3.458486459,3.101857474,4.548408598,3.152348317
PF3D7_0703500,1.921322275,3.383356325,4.66025709,3.225675501,5.234866818,3.917500755
PF3D7_0703600,0.229034047,0.633750585,0.862248954,0.56365855,0.842885705,0.787378769
PF3D7_0703700,2.851399202,3.303106768,2.897289717,2.312207154,2.420872588,2.921305371
PF3D7_0703800,0.941560103,1.092045811,1.772441646,1.002183401,1.837724387,1.885525746
PF3D7_0703900,2.78823961,3.134030909,3.179897057,1.705646659,3.920483752,3.132232341
PF3D7_0704000,1.875069469,2.018736152,2.25126465,1.831752778,2.517726274,2.080053798
PF3D7_0704100,0.489640451,1.126240953,1.756720443,0.800902566,1.49829601,1.041320697
PF3D7_0704200,1.787236084,2.143681788,2.841716386,1.823534656,3.08242981,2.146896678
PF3D7_0704300,0.181179712,0.886282332,1.753770929,0.816284108,1.738958273,1.166715444
PF3D7_0704400,0.296233334,1.00207953,0.897961666,0.905178274,0.82462956,0.650318272
PF3D7_0704500,0.440977814,0.752297227,1.297134841,0.60260632,1.002476331,1.075142085
PF3D7_0704600,2.401995025,2.57833598,3.320419182,2.111109704,3.385233356,2.882793785
PF3D7_0704700,3.474713448,2.781481323,2.538517288,2.994030482,2.449773894,2.844621633
PF3D7_0704800,0.907390294,0.985655287,1.079852117,0.814514709,1.145541723,0.830884061
PF3D7_0704900,0.520416709,0.59898408,0.483005924,0.431731899,0.478318857,0.59754341
PF3D7_0705000,2.261637841,2.556290568,2.906785776,1.327068549,2.836737147,2.270074789
PF3D7_0705100,0.781396131,1.483087119,1.523034273,1.003777049,1.407966707,1.281450971
PF3D7_0705300,0.231611655,0.801408771,1.131985151,0.677353262,1.029556853,0.819333272
PF3D7_0705400,0.206031172,0.543661405,0.566434357,0.581168902,0.525226322,0.746928691
PF3D7_0705500,1.543863495,1.852734869,2.373690217,1.667746467,2.700577135,2.419630943
PF3D7_0705600,1.406578681,1.672263561,2.693097564,1.295924324,3.16053076,2.387103007
PF3D7_0705700,1.975788754,2.502344355,3.214806134,1.891199177,2.27800779,2.14489846
PF3D7_0705800,1.367837131,1.373401881,1.677441513,0.882845011,1.724828561,2.015202592
PF3D7_0705900,1.240462413,1.097352808,3.134173829,0.894480772,3.640486483,3.241394961
PF3D7_0706000,3.18752361,2.571337143,3.130862834,1.40591809,2.79703492,2.69852089
PF3D7_0706100,0.414307354,0.92114778,1.169441905,0.723719618,0.981965261,0.922067668
PF3D7_0706300,0.867699752,0.845527853,1.637588855,0.771685435,1.592108685,1.14448627
PF3D7_0706400,2.172829263,2.740192109,3.632996196,2.17797899,3.603952945,2.910857774
PF3D7_0706500,2.138337909,2.876649205,4.568008336,2.883024917,5.160662241,3.870446401
PF3D7_0706600,1.18466951,1.83401749,1.760883048,1.629410674,2.627158798,2.364991442
PF3D7_0706700,2.443604413,3.252062783,3.890132837,2.903070341,3.874075165,1.585733894
PF3D7_0707200,0.455518483,1.125869711,1.594156123,0.913983003,1.590993249,1.099387784
PF3D7_0707300,0.49189841,1.056726706,2.367145836,1.223961985,2.286921233,1.77941392
PF3D7_0707400,1.051792373,1.312980148,2.069811673,0.889388703,2.261832741,1.467841226
PF3D7_0707500,2.235935126,2.176657442,2.364515029,1.080948908,2.588102942,1.711608191
PF3D7_0707600,1.971732156,3.494035395,2.694920715,3.071541168,3.303198297,2.232407258
PF3D7_0707700,2.701875888,3.567254265,2.547558682,2.610056533,2.830770953,2.02558134
PF3D7_0707800,0.400391878,1.115358189,0.958285563,0.903587028,0.932034295,0.766939804
PF3D7_0707900,2.250309446,3.823561327,3.136407236,3.602028987,3.981358962,3.095844119
PF3D7_0708000,0.736120929,0.759660311,1.218644049,0.901246801,0.801984788,1.106426594
PF3D7_0708100,2.965293874,3.757541384,2.758172192,3.730951024,4.663065309,3.839715479
PF3D7_0708200,2.256858256,2.670303443,3.28149311,1.225779101,2.892994825,2.481824646
PF3D7_0708300,2.575676376,2.522078057,3.335514863,2.200172838,2.984107059,4.146843587
PF3D7_0708400,0.819699638,1.207278874,1.298440377,1.022502962,1.305572115,1.781385483
PF3D7_0708500,2.436918475,2.812658888,3.367435256,2.205956973,3.715986936,2.444898479
PF3D7_0708700,0.750148552,0.486320792,2.045548124,0.505241095,2.28238003,2.229468031
PF3D7_0708800,2.577352511,3.042444048,2.39984397,1.736701601,2.463954878,2.132563088
PF3D7_0708900,2.020536245,2.881647353,2.682899628,1.251054263,1.449972872,1.818341549
PF3D7_0709000,0.625968454,1.402280522,1.720783124,1.357910897,1.527948699,1.655229715
PF3D7_0709100,0.27911505,0.758997617,1.579878475,0.567962971,1.420881931,1.116930065
PF3D7_0709200,2.057352606,3.104959972,3.348374086,2.5050582,3.017323623,2.329195749
PF3D7_0709300,1.956599524,2.315281118,2.162572084,1.650281785,1.57726212,1.585792055
PF3D7_0709400,0.309901339,0.996007352,1.670088162,0.74998436,1.635127039,1.237841364
PF3D7_0709600,2.687893654,3.081032037,3.478497135,1.349577601,3.689217061,3.397214016
PF3D7_0709700,0.974073611,1.456157596,2.245140087,1.097881233,2.000997333,1.680164275
PF3D7_0709800,1.538916787,1.374907578,3.140397386,2.681129138,2.453596144,4.077347096
PF3D7_0709900,0.642164379,1.403874786,1.520119045,1.400286424,1.570125608,0.544598409
PF3D7_0710000,0.790339167,1.519126261,1.376479839,1.495027658,1.274725684,1.5892773
PF3D7_0710100,2.367050614,2.901904732,2.118026601,0.923276607,2.290133834,2.52710912
